Sanskrit,English
अज्ञ (ajña),Ignorance
आत्मा (ātmā),Soul
अग्नि (agni),Fire
आनन्द (ānanda),Bliss
अर्थ (artha),Meaning
आश्रय (āśraya),Shelter
आकाश (ākāśa),Sky
ईश्वर (īśvara),God
ऊर्जा (ūrjā),Energy
कर्म (karma),Action
ज्ञान (jñāna),Knowledge
गुरु (guru),Teacher
गृह (gṛha),House
धर्म (dharma),Duty
जल (jala),Water
जाति (jāti),Caste
जीवन (jīvana),Life
जीव (jīva),Living Being
ज्ञान (jñāna),Wisdom
काल (kāla),Time
कृत्य (kṛtya),Task
कला (kalā),Art
कर्म (karma),Deed
कृष्ण (kṛṣṇa),Krishna
कथा (kathā),Story
कथा (kathā),Tale
कुटुम्ब (kuṭumba),Family
लक्ष्मी (lakṣmī),Wealth
लोह (loha),Iron
लोक (loka),World
मन (mana),Mind
मृत्यु (mṛtyu),Death
नदī (nadī),River
नमः (namaḥ),Salutation
नीति (nīti),Policy
पुत्र (putra),Son
प्रेम (prema),Love
पुराण (purāṇa),Ancient Texts
पूजा (pūjā),Worship
प्रकृति (prakṛti),Nature
प्रार्थना (prārthanā),Prayer
पुस्तकम् (pustakam),Book
ऋतु (ṛtu),Season
शिव (śiva),Auspicious
सुंदर (sundara),Beautiful
सूर्य (sūrya),Sun
साधना (sādhanā),Practice
साधु (sādhu),Saint
संतान (santāna),Offspring
संतुलन (santulan),Balance
संजीवनी (saṃjīvanī),Life-Giving Herb
सूत्र (sūtra),Thread
स्वास्थ्य (svāsthya),Health
स्वाध्याय (svādhyāya),Self-Study
शुभ (śubha),Auspicious
शांति (śānti),Peace
शास्त्र (śāstra),Scripture
शीला (śīlā),Stone
स्कूल (skūla),School
साधारण (sādhāraṇa),Common
अन्न (anna),Food
चरित्र (caritra),Character
जीवन (jīvana),Existence
चंद्र (candra),Moon
चमक (cāmaka),Shine
बंधन (bandhana),Bond
बोध (bodha),Enlightenment
ब्रह्मा (brahmā),Creator
ब्रह्मा (brahmā),Brahma
बल (bala),Strength
बालक (bālaka),Child
मनोहर (manohara),Charming
मिलन (milana),Union
मोक्ष (mokṣa),Liberation
मूल (mūla),Root
मेधावी (medhāvī),Intelligent
योग (yoga),Union
यज्ञ (yajña),Sacrifice
रत्न (ratna),Gem
रमणीय (ramaṇīya),Pleasant
राक्षस (rākṣasa),Demon
ऋषि (ṛṣi),Sage
लहर (lahara),Wave
वाणी (vāṇī),Speech
वंदन (vandana),Reverence
वसु (vasu),Wealth
शब्द (śabda),Sound
शिक्षा (śikṣā),Education
सूर्य (sūrya),Sun
तत्त्व (tattva),Principle
तीर्थ (tīrtha),Pilgrimage
दीप (dīpa),Lamp
दया (dayā),Compassion
धर्म (dharma),Righteousness
धरती (dhartī),Earth
देवी (devī),Goddess
भक्ति (bhakti),Devotion
माया (māyā),Illusion
शांति (śānti),Calm
आत्मा (ātman),Self
अद्भुत (adbhuta),Wonderful
दृष्टि (dṛṣṭi),Vision
धर्म (dharma),Law
नदी (nadī),Stream
राज (rāja),King
काम (kāma),Desire
ज्ञान (jñāna),Learning
अनंत (ananta),Infinite
विज्ञान (vijñāna),Science
चिरकाल (cirakāla),Eternal
सुख (sukha),Happiness
शक्ति (śakti),Power
संकल्प (saṃkalpa),Resolution
पवन (pavana),Wind
प्रतिमा (pratimā),Idol
योग (yoga),Discipline
हर्ष (harṣa),Joy
जीवन (jīvana),Living
उषा (uṣā),Dawn
अस्तित्व (astitva),Existence
ज्ञान (jñāna),Knowledge
अनुष्ठान (anuṣṭhāna),Ritual
परंपरा (paramparā),Tradition
उत्सव (utsava),Festival
विज्ञान (vijñāna),Knowledge
संवेदना (saṃvedanā),Sensitivity
तात्कालिक (tātkālika),Immediate
समर्पण (samarpana),Offering
प्रिय (priya),Beloved
सृजन (sṛjana),Creation
कर्म (karma),Work
पूर्ण (pūrṇa),Complete
सत्य (satya),Truth
शील (śīla),Virtue
शक्तिमान (śaktimān),Powerful
तत्त्वज्ञान (tattvajñāna),Philosophical Knowledge
प्रवृत्ति (pravṛtti),Activity
प्रशंसा (praśaṃsā),Praise
पत्थर (patthara),Stone
पर्वत (parvata),Mountain
मूल्य (mūlya),Value
संज्ञा (saṃjñā),Noun
अभिलाषा (abhilāṣā),Desire
आनंद (ānanda),Joy
असत्य (asatya),FALSE
संयम (saṃyama),Self-Control
तंत्र (tantra),System
विद्या (vidyā),Knowledge
व्रत (vrata),Vow
ध्यान (dhyāna),Meditation
रात्रि (rātri),Night
अमृत (amṛta),Immortality
भविष्य (bhaviṣya),Future
संचार (saṃcāra),Communication
