Hindi,English
नमस्ते,Hello
धन्यवाद,Thank you
हाँ,Yes
नहीं,No
कृपया,Please
माफ़ करें,Sorry
क्या,What
कौन,Who
कहाँ,Where
कब,When
क्यों,Why
कैसे,How
नाम,Name
प्यार,Love
दोस्त,Friend
पानी,Water
खाना,Food
सुबह,Morning
रात,Night
दिन,Day
लड़की,Girl
लड़का,Boy
आदमी,Man
औरत,Woman
बच्चा,Child
स्कूल,School
किताब,Book
घर,Home
परिवार,Family
पैसे,Money
खुश,Happy
दुखी,Sad
बड़ा,Big
छोटा,Small
अच्छा,Good
बुरा,Bad
जल्दी,Early
देर,Late
सही,Right
गलत,Wrong
समय,Time
सप्ताह,Week
महीना,Month
साल,Year
कल,Yesterday
आज,Today
कल,Tomorrow
सुंदर,Beautiful
बदसूरत,Ugly
पुराना,Old
नया,New
मुश्किल,Difficult
आसान,Easy
तेज,Fast
धीमा,Slow
गर्म,Hot
ठंडा,Cold
महंगा,Expensive
सस्ता,Cheap
ऊपर,Up
नीचे,Down
अंदर,Inside
बाहर,Outside
साथ,With
बिना,Without
दोस्ती,Friendship
जीवन,Life
मौत,Death
समस्या,Problem
हल,Solution
सवाल,Question
जवाब,Answer
रंग,Color
सफेद,White
काला,Black
लाल,Red
हरा,Green
नीला,Blue
पीला,Yellow
गुलाबी,Pink
भूरे,Brown
सुनहरा,Golden
चांदी,Silver
खट्टा,Sour
मीठा,Sweet
कड़वा,Bitter
नमकीन,Salty
ठंडक,Coolness
गर्मी,Heat
बारिश,Rain
धूप,Sunshine
आकाश,Sky
ज़मीन,Earth
आग,Fire
हवा,Air
पेड़,Tree
फूल,Flower
पत्ता,Leaf
पहाड़,Mountain
नदी,River
समुद्र,Sea
झील,Lake
जानवर,Animal
पक्षी,Bird
मछली,Fish
शेर,Lion
बाघ,Tiger
हाथी,Elephant
कुत्ता,Dog
बिल्ली,Cat
घोड़ा,Horse
गाय,Cow
भेड़,Sheep
बकरी,Goat
शांति,Peace
युद्ध,War
स्वतंत्रता,Freedom
गुलामी,Slavery
शक्ति,Power
कमजोर,Weak
मेहनत,Hard work
आलस्य,Laziness
ईमानदारी,Honesty
झूठ,Lie
विश्वास,Trust
धोखा,Betrayal
उम्मीद,Hope
डर,Fear
प्यार,Love
नफरत,Hate
खुशी,Joy
दुःख,Sorrow
सफलता,Success
असफलता,Failure
सपना,Dream
सच्चाई,Truth
झूठ,Falsehood
भूख,Hunger
प्यास,Thirst
यात्रा,Journey
मंजिल,Destination
सड़क,Road
पुल,Bridge
कार,Car
ट्रेन,Train
हवाई जहाज,Airplane
नाव,Boat
पैदल,Walking
दौड़ना,Running
खेल,Game
पढ़ाई,Study
संगीत,Music
